class,group,reference_support,target_support,accepted_updates,static_f1,best_capspp_f1,delta_f1,static_recall,best_capspp_recall,delta_recall
118,bad,3760,2577,56,0.4359987838248708,0.07677972418934029,-0.35921905963553047,0.5564610011641443,0.039968956150562666,-0.5164920450135817
119,stable,2846,1033,75,0.8846153846153846,0.22049956933677864,-0.664115815278606,0.8683446272991288,0.12391093901258471,-0.7444336882865441
120,other,2918,1133,42,0.8361683079677709,0.10734929810074319,-0.7288190098670276,0.824360105913504,0.05736981465136805,-0.7669902912621359
121,other,2543,16,0,0.0,0.0,0.0,0.0,0.0,0.0
122,other,61426,40149,138506,0.824817424891606,0.1488798676890693,-0.6759375572025368,0.8031333283518892,0.4932625968268201,-0.3098707315250691
123,other,3393,1458,0,0.4490566037735849,0.05333333333333334,-0.3957232704402516,0.32647462277091904,0.027434842249657063,-0.29903978052126196
124,other,30492,18817,1414,0.8551867440993127,0.2753899165759884,-0.5797968275233243,0.8530052611999788,0.16139660944890258,-0.6916086517510762
125,other,3522,2268,101,0.6736076681540242,0.13520906604142244,-0.5383986021126017,0.8985890652557319,0.07627865961199294,-0.8223104056437389
126,other,2112,2588,105,0.8720262510254306,0.16312056737588654,-0.7089056836495441,0.821483771251932,0.08887171561051005,-0.732612055641422
127,other,3002,4058,78,0.7258826800111203,0.06774040738986263,-0.6581422726212577,0.6434204041399705,0.03523903400689995,-0.6081813701330705
128,stable,2342,3721,589,0.9304743339831059,0.3552515445719329,-0.575222789411173,0.9621069604944907,0.21633969363074443,-0.7457672668637463
129,other,44177,18631,1817,0.6718027734976888,0.2604143160175114,-0.4113884574801774,0.5850464279963502,0.15484944447426333,-0.4301969835220869
130,stable,7092,4618,2157,0.8315680166147456,0.716368864243171,-0.11519915237157452,0.8670420095279342,0.7553053269813772,-0.111736682546557
131,stable,30533,17194,2145,0.906423586383706,0.3236058942502167,-0.5828176921334893,0.9253227870187275,0.19541700593230196,-0.7299057810864256
132,stable,23157,13419,5164,0.9021133745326925,0.597843637689463,-0.30426973684322944,0.8811386839555854,0.4276771741560474,-0.453461509799538
133,other,54110,34000,1678,0.8244967750858091,0.19671877018473066,-0.6277780049010784,0.9643823529411765,0.11197058823529411,-0.8524117647058823
134,other,10738,5543,1134,0.9474777191312624,0.5604256397263745,-0.38705207940488795,0.9877322749413675,0.39906187984845753,-0.58867039509291
135,other,3069,1872,48,0.477059925093633,0.12322274881516587,-0.3538371762784671,0.5443376068376068,0.06944444444444445,-0.47489316239316237
136,other,22342,12861,509,0.7803508232035697,0.20910090734121528,-0.5712499158623545,0.7886634009797061,0.11826452064380685,-0.6703988803358992
137,other,4089,1286,0,0.5800631483987371,0.0688622754491018,-0.5112008729496352,0.5,0.03576982892690513,-0.4642301710730949
138,other,43631,12776,73,0.6155363306288941,0.20474457474053107,-0.41079175588836303,0.5374139010644959,0.11889480275516594,-0.41851909830933
139,bad,2846,973,7,0.16774193548387098,0.03906976744186046,-0.1286721680420105,0.1736896197327852,0.02158273381294964,-0.15210688591983557
140,other,71932,21276,2952,0.7487365493894329,0.4421909445480753,-0.3065456048413576,0.7276743748824968,0.30640157924421885,-0.4212727956382779
141,other,2022,1226,10,0.6573913043478261,0.0583596214511041,-0.599031682896722,0.6166394779771615,0.030179445350734094,-0.5864600326264273
142,other,62604,15948,806,0.6765168539325843,0.29716619862139393,-0.3793506553111904,0.755079006772009,0.18246802106847254,-0.5726109857035364
143,other,4384,3052,136,0.4037700282752121,0.0799423838674829,-0.32382764440772915,0.35091743119266056,0.10910878112712975,-0.24180865006553082
144,stable,3642,2267,1780,0.981722087645893,0.8857213074465471,-0.09600078019934588,0.9832377591530658,0.7948831054256726,-0.18835465372739313
145,stable,2224,1149,47,0.9943305713039686,0.08180300500834725,-0.9125275662956214,0.9921671018276762,0.04264577893820714,-0.9495213228894691
146,other,4793,4680,150,0.8806497175141242,0.1252973830293418,-0.7553523344847825,0.7993589743589744,0.06752136752136752,-0.7318376068376069
147,other,2203,2730,0,0.7240915208613729,0.0,-0.7240915208613729,0.5912087912087912,0.0,-0.5912087912087912
148,other,6812,3728,89,0.8069948186528497,0.10382375284882249,-0.7031710658040272,0.835568669527897,0.054989270386266095,-0.7805793991416309
149,other,74194,29896,1192,0.6411142367906066,0.23822714681440443,-0.4028870899762022,0.7013312817768264,0.16972170189991972,-0.5316095798769066
150,other,2305,1291,115,0.7224264705882353,0.227553118574366,-0.4948733520138693,0.6088303640588691,0.12858249419054996,-0.4802478698683192
151,other,2021,872,41,0.6416593115622242,0.2033563672260612,-0.438302944336163,0.8337155963302753,0.11811926605504587,-0.7155963302752294
152,other,1673,729,8,0.7201946472019465,0.061170212765957445,-0.659024434435989,0.6090534979423868,0.03155006858710562,-0.5775034293552812
153,other,70973,59235,2848,0.810052304817457,0.2702238204148544,-0.5398284844026027,0.7830505613235418,0.17253313075040094,-0.6105174305731409
154,other,2978,1862,27,0.5724725943970768,0.12312166747455162,-0.44935092692252515,0.5048335123523093,0.0682062298603652,-0.43662728249194416
155,other,11183,5650,170,0.592071311283134,0.23734729493891799,-0.35472401634421596,0.6700884955752212,0.2407079646017699,-0.4293805309734513
156,other,32897,11350,2646,0.7414931064828395,0.4565665329140007,-0.2849265735688388,0.8908370044052863,0.37092511013215856,-0.5199118942731278
157,other,2075,800,20,0.49772036474164133,0.06514657980456026,-0.4325737849370811,0.81875,0.0375,-0.78125
158,other,12544,5549,851,0.7169658084950865,0.42278481012658226,-0.29418099836850425,0.795458641196612,0.3009551270499189,-0.49450351414669313
159,other,3182,1740,2,0.4109681787406906,0.022535211267605635,-0.3884329674730849,0.3488505747126437,0.011494252873563218,-0.3373563218390805
160,other,1553,1048,31,0.47699004975124376,0.1469387755102041,-0.33005127424103964,0.7318702290076335,0.08587786259541985,-0.6459923664122137
