class_id,reference_support,reference_recall,reference_f1,final_support,final_recall,final_f1,delta_final_recall_from_ref,delta_final_f1_from_ref,min_recall,first_collapse_period,first_collapse_recall,collapse_pattern,num_supported_periods,num_collapsed_periods,recall_slope_per_period,final_top_confusion_target,final_top_confusion_rate,first_collapse_top_confusion_target,first_collapse_top_confusion_rate
137,4089,0.9797016385424309,0.968568665377176,1286,0.5,0.5800631483987371,-0.47970163854243086,-0.38850551697843894,0.19179810725552052,,,not_collapsed,9,0,-0.04374302020847146,171,0.18351477449455678,,
55,8193,0.9947516172342243,0.9905201750121536,4063,0.5045532857494462,0.6650446066504461,-0.4901983314847781,-0.32547556836170755,0.5045532857494462,,,not_collapsed,9,0,-0.07500743690568418,51,0.465173517105587,,
154,2978,0.7249832102081935,0.7440978804066862,1862,0.5048335123523093,0.5724725943970768,-0.22014969785588412,-0.17162528600960947,0.4573758339510749,,,not_collapsed,9,0,-0.022058720028891747,155,0.08002148227712137,,
166,2317,0.8869227449287872,0.7974388824214202,1835,0.5073569482288829,0.5669914738124239,-0.3795657966999043,-0.23044740860899637,0.443126921387791,,,not_collapsed,9,0,-0.0652756697753393,18,0.14768392370572206,,
19,13185,0.8946530147895335,0.8992567181246427,22936,0.521494593651901,0.6062648892493284,-0.37315842113763253,-0.2929918288753143,0.521494593651901,,,not_collapsed,9,0,-0.05477471613199832,142,0.16964597139867457,,
88,204,0.45588235294117646,0.42758620689655175,83,0.5301204819277109,0.21052631578947367,0.07423812898653442,-0.21705989110707807,0.45588235294117646,,,not_collapsed,9,0,0.010629313966562139,63,0.08433734939759036,,
138,43631,0.8855859366047076,0.8943591880193505,12776,0.5374139010644959,0.6155363306288941,-0.3481720355402117,-0.2788228573904564,0.5315203955500618,,,not_collapsed,9,0,-0.05323004784041055,149,0.2305103318722605,,
33,204,0.37745098039215685,0.4827586206896552,630,0.5396825396825397,0.6793206793206793,0.1622315592903828,0.1965620586310241,0.32964601769911506,,,not_collapsed,9,0,0.006331244390142485,25,0.2650793650793651,,
13,2093,0.6426182513139035,0.554639175257732,1090,0.5403669724770642,0.3990514905149051,-0.10225127883683927,-0.15558768474282686,0.46143790849673205,,,not_collapsed,9,0,-0.01774073310582115,46,0.1651376146788991,,
135,3069,0.693385467579016,0.7184334908845375,1872,0.5443376068376068,0.477059925093633,-0.1490478607414092,-0.24137356579090447,0.4453720508166969,,,not_collapsed,9,0,-0.03727168860212676,156,0.11431623931623931,,
112,3822,0.9079016221873365,0.9069524307370622,1083,0.5466297322253001,0.5887618100447538,-0.3612718899620364,-0.3181906206923084,0.5466297322253001,,,not_collapsed,9,0,-0.03464046729929716,61,0.24007386888273316,,
94,633,0.4849921011058452,0.6091269841269841,760,0.55,0.6138032305433186,0.06500789889415487,0.004676246416334573,0.3170731707317073,,,not_collapsed,9,0,0.012792890068612395,172,0.11842105263157894,,
118,3760,0.9574468085106383,0.9598720170643914,2577,0.5564610011641443,0.4359987838248708,-0.400985807346494,-0.5238732332395206,0.5564610011641443,,,not_collapsed,9,0,-0.040203811805221104,25,0.37679472254559565,,
101,60629,0.9955301918223952,0.9916130675143958,42403,0.5692285923165814,0.7117749402848633,-0.4263015995058138,-0.2798381272295325,0.14824233897877098,,,not_collapsed,9,0,-0.020706261444570193,117,0.1697285569417258,,
129,44177,0.9497928786472599,0.9493308596445581,18631,0.5850464279963502,0.6718027734976888,-0.3647464506509097,-0.2775280861468693,0.5850464279963502,,,not_collapsed,9,0,-0.0415868192847159,79,0.036605657237936774,,
147,2203,0.926463912846119,0.941420664206642,2730,0.5912087912087912,0.7240915208613729,-0.33525512163732774,-0.2173291433452692,0.1647940074906367,,,not_collapsed,7,0,-0.06736277456882826,117,0.08095238095238096,,
72,17880,0.8077181208053691,0.8212447755252907,5765,0.5972246313963573,0.49422234981698127,-0.2104934894090118,-0.32702242570830947,0.5491430231432168,,,not_collapsed,9,0,-0.03757099517173017,71,0.20641803989592367,,
150,2305,0.9488069414316703,0.9498371335504886,1291,0.6088303640588691,0.7224264705882353,-0.3399765773728012,-0.22741066296225332,0.45746268656716416,,,not_collapsed,9,0,-0.04563412297617214,117,0.18745158791634392,,
152,1673,0.9473998804542738,0.9565479782739892,729,0.6090534979423868,0.7201946472019465,-0.338346382511887,-0.2363533310720427,0.6090534979423868,,,not_collapsed,9,0,-0.0309581654590113,117,0.16049382716049382,,
162,486,0.6358024691358025,0.6236125126135217,59,0.6101694915254238,0.4114285714285714,-0.02563297761037875,-0.21218394118495026,0.43023255813953487,,,not_collapsed,9,0,-0.012987879927514772,160,0.06779661016949153,,
96,55119,0.9468785718173407,0.9382651685393258,44573,0.6118726583357638,0.692832374347445,-0.33500591348157693,-0.2454327941918808,0.6118726583357638,,,not_collapsed,9,0,-0.04387367547557884,117,0.16243017073116012,,
141,2022,0.7932739861523245,0.7986059248195171,1226,0.6166394779771615,0.6573913043478261,-0.17663450817516302,-0.14121462047169098,0.4265625,,,not_collapsed,9,0,-0.017410531372001787,140,0.06688417618270799,,
79,25102,0.7829256632937615,0.8086822343380311,7528,0.6299149840595112,0.7017907355335208,-0.15301067923425027,-0.10689149880451032,0.6299149840595112,,,not_collapsed,9,0,-0.02220595194000446,175,0.2218384697130712,,
46,9798,0.8127168809961216,0.781720905119521,7420,0.630188679245283,0.6391033964327205,-0.18252820175083861,-0.14261750868680045,0.6265030472739253,,,not_collapsed,9,0,-0.026909706504633056,67,0.07803234501347708,,
2,7583,0.6629302386918107,0.6904745553190028,3678,0.6353996737357259,0.47664695084642056,-0.027530564956084747,-0.21382760447258226,0.6353996737357259,,,not_collapsed,9,0,-0.0055940968503464415,156,0.04703643284393692,,
173,4960,0.9528225806451613,0.9722279366385518,978,0.6359918200408998,0.7655384615384615,-0.3168307606042615,-0.20668947510009028,0.5127359904105484,,,not_collapsed,9,0,-0.05016999712426678,2,0.16359918200409,,
