period,class_id,support,precision,recall,f1,delta_recall_from_ref,delta_f1_from_ref,is_collapsed,top_confusion_target,top_confusion_count,top_confusion_rate
M-2022-9,17,10138,0.9243333661320476,0.9266127441309923,0.9254716516427762,0.025843282753956198,0.004595112847250893,0,153,149,0.014697178930755573
M-2022-10,17,11892,0.9212100495641771,0.9064917591658258,0.9137916419428669,0.005722297788789743,-0.007084896852658451,0,153,208,0.017490750084090144
M-2022-11,17,13481,0.7862634546386469,0.9103182256509161,0.8437553714462511,0.009548764273880073,-0.07712116734927421,0,153,286,0.021215043394406944
M-2022-12,17,8301,0.7706980101041344,0.9004939163956149,0.8305555555555556,-0.0002755449814211275,-0.09032098323996973,0,153,124,0.014937959282014215
M-2022-4,18,21926,0.9364035087719298,0.9153060293715224,0.9257345818534065,0.0,0.0,0,153,267,0.012177323725257684
M-2022-5,18,27154,0.9379307775418203,0.9271193930912572,0.9324937494212427,0.011813363719734848,0.006759167567836233,0,19,279,0.010274729321646903
M-2022-6,18,29195,0.947870505057339,0.9597533824284981,0.9537749336238002,0.04444735305697567,0.028040351770393657,0,19,172,0.00589141976365816
M-2022-7,18,12401,0.8660102115244347,0.9574227884847996,0.9094251464899851,0.04211675911327717,-0.016309435363421443,0,117,83,0.006693008628336425
M-2022-8,18,15084,0.8341728909733078,0.9551180058339963,0.8905578735898625,0.03981197646247392,-0.03517670826354402,0,117,129,0.008552108194112968
M-2022-9,18,26366,0.8662426950842214,0.9557384510354244,0.9087925562608193,0.04043242166390204,-0.016942025592587173,0,19,252,0.009557763786694986
M-2022-10,18,43004,0.8917678986818299,0.9627709050320901,0.9259101887467573,0.047464875660567674,0.00017560689335083257,0,19,383,0.008906148265277648
M-2022-11,18,45913,0.8894950857189563,0.9481192690523381,0.9178720533040948,0.03281323968081573,-0.007862528549311687,0,19,443,0.009648683379435018
M-2022-12,18,25658,0.8863206217533122,0.857822121755398,0.8718385454833535,-0.05748390761612443,-0.053896036370053024,0,19,1187,0.04626237430820797
M-2022-4,19,13185,0.9039080459770115,0.8946530147895335,0.8992567181246427,0.0,0.0,0,18,358,0.027152066742510427
M-2022-5,19,19072,0.9121771217712177,0.9072986577181208,0.9097313495610115,0.012645642928587275,0.010474631436368842,0,18,432,0.022651006711409395
M-2022-6,19,19320,0.9126405347918566,0.9327639751552795,0.9225925357088005,0.038110960365746016,0.023335817584157814,0,18,348,0.018012422360248446
M-2022-7,19,9918,0.8991884228023859,0.9272030651340997,0.9129808885579548,0.03255005034456615,0.013724170433312088,0,18,197,0.019862875579753983
M-2022-8,19,11453,0.8745478774033886,0.8022352222125207,0.8368322783369005,-0.09241779257701277,-0.06242443978774215,0,142,934,0.08155068540993626
M-2022-9,19,19469,0.8087248322147651,0.6189326621809029,0.7012133026855597,-0.2757203526086306,-0.198043415439083,0,142,4061,0.20858801171092506
M-2022-10,19,29160,0.8097567366903962,0.6358367626886146,0.7123345563516914,-0.25881625210091896,-0.1869221617729513,0,142,5515,0.1891289437585734
M-2022-11,19,38480,0.8141712620955156,0.6100571725571725,0.6974878552434151,-0.284595842232361,-0.20176886288122764,0,142,5837,0.1516891891891892
