period,true_class,pred_class,rank_for_class,confusion_count,confusion_rate,delta_count_from_ref,delta_rate_from_ref
M-2022-6,38,156,2,4,0.04395604395604396,3.0,0.03096903096903097
M-2022-6,38,104,3,3,0.03296703296703297,3.0,0.03296703296703297
M-2022-6,38,61,4,2,0.02197802197802198,2.0,0.02197802197802198
M-2022-6,38,93,5,2,0.02197802197802198,2.0,0.02197802197802198
M-2022-6,10,12,1,102,0.05382585751978892,-6.0,0.00036051098513545377
M-2022-6,10,138,2,42,0.02216358839050132,17.0,0.009787350766738943
M-2022-6,10,156,3,29,0.015303430079155673,-33.0,-0.01538963922777502
M-2022-6,10,28,4,10,0.005277044854881266,-5.0,-0.002148697719376159
M-2022-6,10,115,5,5,0.002638522427440633,3.0,0.001648423417539643
M-2022-6,174,117,1,139,0.04414099714194983,41.0,0.021060450745341255
M-2022-6,174,2,2,71,0.02254684026675135,71.0,0.02254684026675135
M-2022-6,174,28,3,26,0.00825658939345824,21.0,0.007079010495672089
M-2022-6,174,133,4,23,0.007303906001905367,16.0,0.005655295545004754
M-2022-6,174,100,5,20,0.006351222610352493,6.0,0.003054001696551268
M-2022-6,66,143,1,186,0.03426045312212194,184.0,0.033872028185240995
M-2022-6,66,133,2,156,0.02873457358629582,104.0,0.01863552522739118
M-2022-6,66,32,3,132,0.024313869957634925,125.0,0.022954382678551606
M-2022-6,66,139,4,124,0.022840302081414625,111.0,0.020315539991688464
M-2022-6,66,115,5,95,0.017498618530116042,57.0,0.010118544729378034
M-2022-6,109,65,1,50,0.02627430373095113,15.0,0.007527651347448181
M-2022-6,109,107,2,41,0.021544929059379925,-1.0,-0.0009510538008236091
M-2022-6,109,106,3,9,0.004729374671571204,6.0,0.003122518752985237
M-2022-6,109,53,4,4,0.0021019442984760903,3.0,0.0015663256589474347
M-2022-6,109,14,5,2,0.0010509721492380452,1.0,0.0005153535097093896
M-2022-6,47,48,1,13,0.004274909569220651,-52.0,-0.012656583006971065
M-2022-6,47,96,2,5,0.001644195988161789,-8.0,-0.0017421025270765542
M-2022-6,47,28,3,3,0.0009865175928970734,-6.0,-0.001357842917652549
M-2022-6,47,172,4,3,0.0009865175928970734,0.0,0.00020506408938053263
M-2022-6,47,53,5,2,0.0006576783952647156,-5.0,-0.0011657131129405463
M-2022-6,48,47,1,5,0.0011904761904761906,-2.0,-0.00020924386551261168
M-2022-6,48,18,2,1,0.0002380952380952381,1.0,0.0002380952380952381
M-2022-6,48,83,3,1,0.0002380952380952381,-1.0,-0.00016182477790156253
M-2022-6,48,84,4,1,0.0002380952380952381,0.0,3.813523009683778e-05
M-2022-6,48,86,5,1,0.0002380952380952381,1.0,0.0002380952380952381
M-2022-7,121,14,1,4,0.5714285714285714,3.0,0.571035335093534
M-2022-7,121,51,2,1,0.14285714285714285,1.0,0.14285714285714285
M-2022-7,121,118,3,1,0.14285714285714285,-1.0,0.14207067018706812
M-2022-7,121,129,4,1,0.14285714285714285,-1.0,0.14207067018706812
M-2022-7,56,96,1,4029,0.49654917426669953,4001.0,0.49377524916267734
M-2022-7,56,165,2,1289,0.15886122750801085,1285.0,0.15846495249315054
M-2022-7,56,14,3,827,0.10192260290855312,810.0,0.10023843409539679
M-2022-7,56,170,4,510,0.06285432585654424,510.0,0.06285432585654424
M-2022-7,56,118,5,347,0.042765590337687946,332.0,0.041279559031961774
M-2022-7,48,6,1,2130,0.4735437972432192,2130.0,0.4735437972432192
M-2022-7,48,177,2,1867,0.41507336594041794,1867.0,0.41507336594041794
M-2022-7,48,14,3,35,0.007781236104935527,35.0,0.007781236104935527
M-2022-7,48,117,4,7,0.0015562472209871053,5.0,0.0011563272049903046
M-2022-7,48,83,5,5,0.0011116051578479323,3.0,0.0007116851418511316
M-2022-7,7,5,1,6,0.46153846153846156,3.0,0.37820512820512825
M-2022-7,7,14,2,1,0.07692307692307693,-3.0,-0.03418803418803418
