period,class,group,reference_support,target_support,accepted_updates,accepted_rate,static_f1,caps_f1,delta_f1,static_recall,caps_recall,delta_recall
M-2022-7,124,other,30492,20257,6774,0.33440292244656167,0.903901895206243,0.904364157564375,0.0004622623581320706,0.9005775781211434,0.9032926889470306,0.002715110825887268
M-2022-7,125,other,3522,2871,1019,0.35492859630790663,0.7739586367608505,0.7704111175448755,-0.00354751921597507,0.9254615116684082,0.9268547544409613,0.0013932427725531493
M-2022-7,126,other,2112,1107,652,0.5889792231255646,0.8739971684756961,0.8712871287128713,-0.0027100397628248007,0.8364950316169828,0.8346883468834688,-0.0018066847335139746
M-2022-7,127,other,3002,2163,833,0.3851132686084142,0.8141592920353983,0.8154789995280792,0.0013197074926809549,0.7868700878409616,0.7988904299583911,0.012020342117429528
M-2022-7,128,stable,2342,2154,929,0.43129062209842156,0.8126597208570867,0.7904054825813821,-0.022254238275704608,0.9596100278551533,0.9637883008356546,0.00417827298050133
M-2022-7,129,other,44177,19427,13287,0.6839450249652546,0.9121219695076231,0.9101067294683569,-0.0020152400392662306,0.9392597930714984,0.9349359139342153,-0.00432387913728316
M-2022-7,130,stable,7092,4594,2282,0.49673487157161517,0.8483017295269848,0.8569925286751552,0.008690799148170392,0.8861558554636483,0.8863735306922073,0.0002176752285589778
M-2022-7,131,stable,30533,26165,22478,0.8590865660233136,0.9414172232247503,0.9390422786267337,-0.0023749445980165707,0.967017007452704,0.9664437225300975,-0.000573284922606554
M-2022-7,132,stable,23157,10712,6858,0.6402165795369679,0.8929427299848388,0.8918311510650772,-0.0011115789197616577,0.8522218073188947,0.8520351008215086,-0.00018670649738616873
M-2022-7,133,other,54110,36135,13966,0.3864950878649509,0.9020607277548236,0.8971727963311684,-0.0048879314236551785,0.9697246436972464,0.9690881416908814,-0.0006365020063650029
M-2022-7,134,other,10738,6337,3739,0.5900268265740887,0.9564092810954735,0.958902020587114,0.0024927394916405277,0.9919520277733943,0.9922676345273789,0.0003156067539845653
M-2022-7,135,other,3069,1882,560,0.2975557917109458,0.7066541705716963,0.7041146555709662,-0.0025395150007301304,0.8012752391073327,0.8092454835281615,0.007970244420828831
M-2022-7,136,other,22342,14759,5166,0.3500237143437902,0.8790798466411068,0.8821941546972373,0.0031143080561304437,0.8932854529439664,0.8968087268785148,0.003523273934548321
M-2022-7,137,other,4089,1585,0,0.0,0.2962962962962963,0.2843040473840079,-0.011992248912288395,0.19179810725552052,0.18170347003154574,-0.010094637223974773
