period,true_class,pred_class,rank_for_bad_class,support,static_rate,caps_rate,delta_rate,static_count,caps_count,delta_count
M-2022-12,6,5,1,1684,0.5593824228028503,0.5902612826603325,0.030878859857482177,942,994,52
M-2022-12,6,14,2,1684,0.03800475059382423,0.027909738717339667,-0.010095011876484563,64,47,-17
M-2022-12,6,151,3,1684,0.021377672209026127,0.012470308788598575,-0.008907363420427552,36,21,-15
M-2022-12,6,149,4,1684,0.008907363420427554,0.004750593824228029,-0.004156769596199525,15,8,-7
M-2022-12,6,83,5,1684,0.005344418052256532,0.0029691211401425177,-0.002375296912114014,9,5,-4
M-2022-12,10,156,1,1004,0.3645418326693227,0.30776892430278885,-0.05677290836653387,366,309,-57
M-2022-12,10,138,2,1004,0.24900398406374502,0.1752988047808765,-0.07370517928286852,250,176,-74
M-2022-12,10,117,3,1004,0.10657370517928287,0.15737051792828685,0.05079681274900398,107,158,51
M-2022-12,10,132,4,1004,0.03386454183266932,0.0398406374501992,0.005976095617529882,34,40,6
M-2022-12,10,61,5,1004,0.030876494023904383,0.04083665338645418,0.009960159362549799,31,41,10
M-2022-12,11,153,1,1749,0.2550028587764437,0.2115494568324757,-0.04345340194396799,446,370,-76
M-2022-12,11,93,2,1749,0.15437392795883362,0.1595197255574614,0.005145797598627794,270,279,9
M-2022-12,11,133,3,1749,0.07489994282447113,0.07318467695826186,-0.0017152658662092646,131,128,-3
M-2022-12,11,148,4,1749,0.02801600914808462,0.04059462550028588,0.012578616352201259,49,71,22
M-2022-12,11,176,5,1749,0.022298456260720412,0.010291595197255575,-0.012006861063464836,39,18,-21
M-2022-12,12,156,1,263,0.20912547528517111,0.14068441064638784,-0.06844106463878327,55,37,-18
M-2022-12,12,117,2,263,0.17870722433460076,0.22053231939163498,0.04182509505703422,47,58,11
M-2022-12,12,63,3,263,0.10646387832699619,0.12167300380228137,0.015209125475285176,28,32,4
M-2022-12,12,125,4,263,0.060836501901140684,0.011406844106463879,-0.049429657794676805,16,3,-13
M-2022-12,12,50,5,263,0.030418250950570342,0.019011406844106463,-0.011406844106463879,8,5,-3
M-2022-12,14,129,1,5821,0.20666552138807764,0.20030922521903452,-0.006356296169043124,1203,1166,-37
M-2022-12,14,63,2,5821,0.058924583404913244,0.08417797629273321,0.02525339288781997,343,490,147
M-2022-12,14,61,3,5821,0.05102216114069748,0.049991410410582374,-0.0010307507301151042,297,291,-6
M-2022-12,14,153,4,5821,0.04397869781824429,0.03504552482391342,-0.00893317299433087,256,204,-52
M-2022-12,14,86,5,5821,0.0307507301151005,0.02216114069747466,-0.008589589417625838,179,129,-50
M-2022-12,26,13,1,807,0.21561338289962825,0.24039653035935563,0.024783147459727373,174,194,20
M-2022-12,26,49,2,807,0.12143742255266418,0.1288723667905824,0.007434944237918212,98,104,6
M-2022-12,26,136,3,807,0.09169764560099132,0.08674101610904585,-0.0049566294919454745,74,70,-4
M-2022-12,26,46,4,807,0.080545229244114,0.04708798017348203,-0.033457249070631974,65,38,-27
M-2022-12,26,61,5,807,0.07063197026022305,0.07806691449814127,0.007434944237918212,57,63,6
M-2022-12,28,49,1,5815,0.1826311263972485,0.16680997420464316,-0.015821152192605326,1062,970,-92
M-2022-12,28,117,2,5815,0.06827171109200345,0.03989681857265692,-0.028374892519346523,397,232,-165
M-2022-12,28,158,3,5815,0.05537403267411866,0.059673258813413586,0.004299226139294926,322,347,25
M-2022-12,28,95,4,5815,0.04591573516766982,0.05932932072226999,0.01341358555460017,267,345,78
M-2022-12,28,142,5,5815,0.045055889939810835,0.040928632846087706,-0.004127257093723129,262,238,-24
M-2022-12,38,45,1,193,0.46113989637305697,0.36787564766839376,-0.09326424870466321,89,71,-18
M-2022-12,38,39,2,193,0.2694300518134715,0.3471502590673575,0.07772020725388601,52,67,15
M-2022-12,38,105,3,193,0.03626943005181347,0.03626943005181347,0.0,7,7,0
M-2022-12,38,133,4,193,0.03626943005181347,0.03626943005181347,0.0,7,7,0
