method,alpha,tau_conf,momentum,accepted_rate,num_updated_classes,overall_accuracy,overall_macro_f1,bad_accuracy,bad_macro_f1,bad_support,stable_accuracy,stable_macro_f1,stable_support
caps_target_proto,2.0,0.95,0.999,0.3510178510295648,174,0.7537810915570925,0.6301933714513954,0.16675840460665595,0.15604517114484293,47236,0.9423258330327664,0.9032414728173135,144172
caps_target_proto,5.0,0.7,0.9,0.40018394397341656,177,0.7525643709441072,0.6308701538377591,0.1665043610805318,0.16358852407330568,47236,0.9445176594623089,0.899139895530032,144172
caps_target_proto,5.0,0.7,0.99,0.41775308733408956,178,0.7511337795649884,0.6289319070003851,0.17166991277838936,0.16116009764219694,47236,0.9429015342785007,0.8989356516831272,144172
caps_target_proto,5.0,0.7,0.999,0.42999359899155776,178,0.7531198303543831,0.6294555582168162,0.16963756456939622,0.1575389610173958,47236,0.9423674499902894,0.900959661529036,144172
caps_target_proto,5.0,0.8,0.9,0.3830773055910957,177,0.7543992763157398,0.6326950948076809,0.16887543399102378,0.16416265046004272,47236,0.9444552340260245,0.8990969365110569,144172
caps_target_proto,5.0,0.8,0.99,0.40122911453724186,178,0.750995481507736,0.6291061447598865,0.17194512659835717,0.1603336795037102,47236,0.9429847681935466,0.8991670205968896,144172
caps_target_proto,5.0,0.8,0.999,0.4116135604645908,178,0.7530276316495482,0.6292940244739548,0.16953171310017784,0.15734680394886397,47236,0.9423882584690508,0.9010737442809106,144172
caps_target_proto,5.0,0.9,0.9,0.36022638560672415,176,0.7537909160092471,0.6320973116580966,0.16974341603861462,0.1612062231872114,47236,0.9431234913852898,0.8991251499875472,144172
caps_target_proto,5.0,0.9,0.99,0.3719084149455612,176,0.7509251988884766,0.628908811788622,0.1715428910153273,0.15828423914095857,47236,0.942873789640152,0.8993474852877693,144172
caps_target_proto,5.0,0.9,0.999,0.3800974736799148,176,0.7528039364312602,0.6291612433985727,0.16940469133711575,0.1571447328903601,47236,0.9423397053519408,0.9010912658734261,144172
