class,group,reference_support,target_support,accepted_updates,static_f1,best_caps_f1,delta_f1,static_recall,best_caps_recall,delta_recall
134,other,10738,5543,3345,0.9474777191312624,0.9557630224238722,0.008285303292609791,0.9877322749413675,0.9880930903842684,0.00036081544290089695
135,other,3069,1872,601,0.477059925093633,0.44501829137077686,-0.03204163372285612,0.5443376068376068,0.5523504273504274,0.008012820512820595
136,other,22342,12861,3118,0.7803508232035697,0.7850939281478364,0.004743104944266663,0.7886634009797061,0.7977606717984604,0.009097270818754333
137,other,4089,1286,3,0.5800631483987371,0.5527921163772876,-0.027271032021449426,0.5,0.45800933125972004,-0.04199066874027996
138,other,43631,12776,550,0.6155363306288941,0.5995268358305886,-0.01600949479830549,0.5374139010644959,0.5057921102066374,-0.031621790857858545
139,bad,2846,973,44,0.16774193548387098,0.12871287128712872,-0.039029064196742264,0.1736896197327852,0.13360739979445016,-0.04008221993833505
140,other,71932,21276,3831,0.7487365493894329,0.7447796958286469,-0.003956853560786011,0.7276743748824968,0.7158300432412108,-0.011844331641285955
141,other,2022,1226,301,0.6573913043478261,0.6498683715682587,-0.007522932779567393,0.6166394779771615,0.7047308319738989,0.0880913539967374
142,other,62604,15948,2634,0.6765168539325843,0.6833734939759036,0.0068566400433193175,0.755079006772009,0.7557687484324053,0.0006897416603962592
143,other,4384,3052,274,0.4037700282752121,0.43506006006006004,0.03129003178484796,0.35091743119266056,0.3797509829619921,0.028833551769331556
144,stable,3642,2267,1840,0.981722087645893,0.9732456140350877,-0.00847647361080528,0.9832377591530658,0.9788266431407145,-0.004411116012351224
145,stable,2224,1149,1140,0.9943305713039686,0.993897122929381,-0.0004334483745875861,0.9921671018276762,0.9921671018276762,0.0
146,other,4793,4680,2395,0.8806497175141242,0.9126324182708737,0.03198270075674947,0.7993589743589744,0.8559829059829059,0.056623931623931534
147,other,2203,2730,766,0.7240915208613729,0.7501099868015838,0.026018465940210955,0.5912087912087912,0.6245421245421245,0.033333333333333326
148,other,6812,3728,1987,0.8069948186528497,0.7927631578947368,-0.014231660758112885,0.835568669527897,0.8403969957081545,0.004828326180257525
149,other,74194,29896,2626,0.6411142367906066,0.6563622221854469,0.015247985394840291,0.7013312817768264,0.6633328873427883,-0.037998394434038074
150,other,2305,1291,693,0.7224264705882353,0.7835405057865409,0.061114035198305605,0.6088303640588691,0.7079783113865221,0.09914794732765297
151,other,2021,872,295,0.6416593115622242,0.6201818969250757,-0.021477414637148473,0.8337155963302753,0.8211009174311926,-0.012614678899082632
152,other,1673,729,221,0.7201946472019465,0.7209113100081367,0.0007166628061902047,0.6090534979423868,0.607681755829904,-0.00137174211248281
153,other,70973,59235,13055,0.810052304817457,0.7813368197417879,-0.028715485075669123,0.7830505613235418,0.7264117498100785,-0.05663881151346328
154,other,2978,1862,198,0.5724725943970768,0.5702982349360926,-0.00217435946098421,0.5048335123523093,0.5032223415682062,-0.0016111707841031109
155,other,11183,5650,348,0.592071311283134,0.5892964521948286,-0.002774859088305326,0.6700884955752212,0.6070796460176991,-0.06300884955752206
156,other,32897,11350,4573,0.7414931064828395,0.7550249357714977,0.013531829288658148,0.8908370044052863,0.8803524229074889,-0.010484581497797407
157,other,2075,800,543,0.49772036474164133,0.3997609799820735,-0.09795938475956784,0.81875,0.83625,0.01750000000000007
158,other,12544,5549,2174,0.7169658084950865,0.7133444470905771,-0.0036213614045094156,0.795458641196612,0.8096954406199315,0.014236799423319457
159,other,3182,1740,204,0.4109681787406906,0.457257794166946,0.046289615426255426,0.3488505747126437,0.39195402298850573,0.043103448275862044
160,other,1553,1048,285,0.47699004975124376,0.4882390336935791,0.011248983942335367,0.7318702290076335,0.732824427480916,0.000954198473282486
161,other,3031,334,208,0.8110918544194108,0.823327615780446,0.012235761361035213,0.7005988023952096,0.718562874251497,0.017964071856287456
162,other,486,59,16,0.4114285714285714,0.2978723404255319,-0.11355623100303952,0.6101694915254238,0.5932203389830508,-0.016949152542372947
163,other,3156,1741,13,0.025738798856053385,0.021968365553602813,-0.0037704333024505716,0.015508328546812177,0.014359563469270534,-0.0011487650775416428
