class,group,reference_support,target_support,static_f1,best_pair_f1,delta_f1,static_recall,best_pair_recall,delta_recall
50,other,4546,1528,0.186155285313377,0.18445692883895132,-0.0016983564744256774,0.13023560209424084,0.12892670157068062,-0.0013089005235602247
51,other,21842,11645,0.8603878116343491,0.8603767611207852,-1.1050513563870545e-05,0.9335337054529841,0.9334478316874195,-8.587376556457027e-05
52,other,2301,1274,0.6664053312426499,0.6664053312426499,0.0,0.6671899529042387,0.6671899529042387,0.0
53,other,9775,5505,0.8221734357848518,0.8224846653849675,0.0003112296001156478,0.8163487738419618,0.8159854677565849,-0.00036330608537693543
54,other,6663,5063,0.3268134914523333,0.3268134914523333,0.0,0.20955954967410625,0.20955954967410625,0.0
55,other,8193,4063,0.6650446066504461,0.6650446066504461,0.0,0.5045532857494462,0.5045532857494462,0.0
56,bad,10094,12137,0.0007871536523929471,0.0007869058860560277,-2.477663369194723e-07,0.00041196341764851283,0.00041196341764851283,0.0
57,stable,3065,2331,0.9740064446831365,0.9740064446831365,0.0,0.9725439725439725,0.9725439725439725,0.0
58,other,2286,15,0.0,0.0,0.0,0.0,0.0,0.0
59,stable,13724,6030,0.9851931507982463,0.9856007944389275,0.00040764364068113235,0.9875621890547264,0.9875621890547264,0.0
60,other,49622,24845,0.8670687575392039,0.8670513258679963,-1.7431671207601696e-05,0.8679412356610988,0.8679412356610988,0.0
61,other,19676,10494,0.6124639431139733,0.6124790338812479,1.5090767274572592e-05,0.870020964360587,0.8699256718124643,-9.529254812268295e-05
62,stable,15549,11221,0.9274218038262982,0.9274218038262982,0.0,0.9525888958203369,0.9525888958203369,0.0
63,other,11152,5492,0.6012027349864074,0.6012522656121272,4.9530625719773624e-05,0.66442097596504,0.66442097596504,0.0
64,stable,2437,1215,0.7903039630627164,0.7903039630627164,0.0,0.8452674897119341,0.8452674897119341,0.0
65,other,3145,2112,0.927449168207024,0.9269533055940823,-0.0004958626129417665,0.9502840909090909,0.9493371212121212,-0.0009469696969697239
66,bad,5149,1955,0.001658374792703151,0.0016227180527383367,-3.565673996481426e-05,0.0010230179028132991,0.0010230179028132991,0.0
67,other,854,1191,0.1558219178082192,0.1558219178082192,0.0,0.1528127623845508,0.1528127623845508,0.0
68,other,7271,2499,0.7406663318265528,0.7409144196951934,0.00024808786864061183,0.8851540616246498,0.8851540616246498,0.0
69,bad,879,1866,0.008430913348946136,0.00841908325537886,-1.1830093567276323e-05,0.00482315112540193,0.00482315112540193,0.0
70,other,2642,908,0.36075949367088606,0.36075949367088606,0.0,0.2511013215859031,0.2511013215859031,0.0
71,other,149408,39434,0.7009773624831083,0.7010309278350515,5.356535194322998e-05,0.8484556474108638,0.8484049297560481,-5.071765481567958e-05
72,other,17880,5765,0.49422234981698127,0.49422234981698127,0.0,0.5972246313963573,0.5972246313963573,0.0
