prototype_period,split,class_id,absorber_class,pair_source,first_collapse_period,collapse_pattern,reference_recall,final_recall,final_f1,final_top_confusion_rate,first_collapse_top_confusion_rate,valid_pair,class_support,absorber_support,raw_l2_distance,cosine_similarity,cosine_distance,normalized_l2_distance,absorber_neighbor_rank,num_valid_neighbors,absorber_rank_percentile,nearest_class,nearest_cosine_distance,absorber_is_nearest,distance_z_vs_class_neighbors
M-2022-4,train,174,2,final,M-2022-7,abrupt,0.9500706547338672,0.0,0.0,0.291970802919708,0.21649484536082475,1,3447,6066,7.148357391357422,0.7262976765632629,0.27370232343673706,0.7398679256439209,69,175,0.3942857142857143,109,0.05715596675872803,0,-0.2479042599573792
M-2022-4,train,48,14,final,M-2022-7,abrupt,0.9944011197760448,0.0008925914906277894,0.0017709563164108619,0.389764950907468,0.4735437972432192,1,3637,601,6.807015419006348,0.7974734902381897,0.2025265097618103,0.6364377737045288,68,175,0.38857142857142857,66,0.0855865478515625,0,-0.3651472271976942
M-2022-4,train,50,124,final,M-2022-7,abrupt,0.5846898372195336,0.13023560209424084,0.186155285313377,0.11780104712041885,0.28582554517133957,1,1841,1690,7.334280014038086,0.7801011204719543,0.21989887952804565,0.6631726026535034,46,175,0.26285714285714284,2,0.10325074195861816,0,-0.795070986617579
M-2022-4,train,38,45,final,M-2022-8,abrupt,0.6753246753246753,0.05181347150259067,0.08968609865470852,0.46113989637305697,0.8602261048304214,1,1867,3071,11.889504432678223,0.5072399377822876,0.4927600622177124,0.9927335977554321,157,175,0.8971428571428571,76,0.0953671932220459,0,1.2643065834652623
M-2022-4,train,121,14,final,M-2022-9,gradual,0.9476995674400315,0.0,0.0,0.4375,0.7515151515151515,1,2714,601,7.547645568847656,0.756267786026001,0.24373221397399902,0.6981863975524902,44,175,0.25142857142857145,48,0.1243600845336914,0,-0.7313299738956708
M-2022-4,train,69,105,final,M-2022-9,abrupt,0.8020477815699659,0.00482315112540193,0.008430913348946136,0.3767416934619507,0.32507739938080493,1,119519,3098,10.69875431060791,0.5475795269012451,0.4524204730987549,0.9512312412261963,159,175,0.9085714285714286,80,0.039527833461761475,0,1.1939447703529542
M-2022-4,train,104,2,final,M-2022-9,gradual,0.6286054118346714,0.00974770642201835,0.016456921587608905,0.2121559633027523,0.2101628021706956,1,3194,6066,8.879085540771484,0.6698529720306396,0.33014702796936035,0.8125846982002258,67,175,0.38285714285714284,63,0.07663381099700928,0,-0.28995226679607083
M-2022-4,train,47,5,final,M-2022-11,gradual,0.9700442823651992,0.0,0.0,0.45145631067961167,0.3493975903614458,1,32176,1674,11.318952560424805,0.49734365940093994,0.5026563405990601,1.0026527643203735,159,175,0.9085714285714286,157,0.12877750396728516,0,1.4797658757362608
M-2022-4,train,66,71,final,M-2022-11,abrupt,0.9201786754709652,0.0010230179028132991,0.001658374792703151,0.13861892583120206,0.35346142116498935,1,5817,23367,7.936370372772217,0.6585830450057983,0.34141695499420166,0.8263376355171204,148,175,0.8457142857142858,48,0.0855865478515625,0,1.078138726741458
M-2022-4,train,10,156,final,M-2022-11,gradual,0.8128712871287128,0.09760956175298804,0.16184971098265896,0.3645418326693227,0.34739941118743867,1,1347,10034,8.859227180480957,0.6407077312469482,0.35929226875305176,0.8476938009262085,108,175,0.6171428571428571,37,0.08634185791015625,0,0.4125166945172094
M-2022-4,train,7,5,final,M-2022-11,gradual,0.6666666666666666,0.21212121212121213,0.125,0.48484848484848486,0.7884615384615384,1,1259,1674,10.486056327819824,0.5587685108184814,0.44123148918151855,0.9393951296806335,158,175,0.9028571428571428,149,0.09714150428771973,0,1.4966985709290097
M-2022-4,train,109,71,final,M-2022-12,abrupt,0.9480449919657205,0.0,0.0,0.24936386768447838,0.24936386768447838,1,2254,23367,8.45921516418457,0.6317341327667236,0.36826586723327637,0.858214259147644,159,175,0.9085714285714286,174,0.05715596675872803,0,1.2155263241511762
