class,fd,ref_count,tgt_count,count_ratio,margin_drop,conf_drop,entropy_rise,fd_zscore,collapse_score,status
13,8.537884904544644,2757,1862,1.321854085006973,0.24143469333648682,0.02803969383239746,0.04881870746612549,-0.6841445654635719,0.0,ok
128,8.520083532642378,2402,3974,3.2381388461941016,0.270172119140625,0.008445322513580322,0.0270511656999588,-0.6863075825965741,0.0,ok
110,8.490608613823674,10156,6054,1.1667030450986635,0.873150110244751,0.05564308166503906,0.13835951685905457,-0.6898890343379755,0.0,ok
75,8.245874698430573,34919,5713,0.3202160035418598,-0.0544278621673584,0.021751105785369873,0.033534467220306396,-0.7196262734074328,0.2719135985832561,ok
18,8.16256517077803,21432,24833,2.2678122395940656,1.163100242614746,0.032053589820861816,0.0856480598449707,-0.7297490851010547,0.0008141163897277935,ok
64,7.904933366529461,2347,1384,1.1541535918541455,0.6153862476348877,0.01648956537246704,0.009435951709747314,-0.7610535266719317,0.0,ok
171,7.849810351642443,5843,4675,1.565980449703396,0.7066011428833008,0.08055645227432251,0.21102166175842285,-0.7677514388484747,0.013030863309114252,ok
132,7.676906936515504,20447,12795,1.224760863227285,-0.00032711029052734375,-0.004029273986816406,-0.01746833324432373,-0.7887606650658406,0.0,ok
155,7.644728629675786,11150,7139,1.2531501820487252,1.0790231227874756,0.09998452663421631,0.2888053059577942,-0.792670601299264,0.04850039501205802,ok
125,7.636724038212428,3754,3783,1.9723440757890989,1.8283514976501465,0.10128283500671387,0.2982180118560791,-0.7936432268122293,0.09022282936874217,ok
126,7.3657932442732506,2040,2288,2.1951614113775366,-0.25769472122192383,-0.011093854904174805,-0.04870353639125824,-0.8265636080258673,0.0,ok
157,7.300674551990529,2188,1832,1.638772843832107,1.4916062355041504,0.15144097805023193,0.4429187774658203,-0.8344760794836598,0.15105973216735472,ok
15,7.284477322949787,628,674,2.1005879012819983,0.5594778060913086,0.04056203365325928,0.11827242374420166,-0.8364441797017012,0.0,ok
130,7.016591690080917,7691,5012,1.2754659171264453,-0.08513450622558594,-0.00185471773147583,-0.027907222509384155,-0.8689945481093606,0.0,ok
136,7.013759980918244,24064,13135,1.0683237053032248,0.8757529258728027,0.0433422327041626,0.11480480432510376,-0.8693386247045899,0.0,ok
20,6.9812944861883315,1367,1998,2.86066877978612,0.943385124206543,0.11694425344467163,0.3251512050628662,-0.8732834566938174,0.07289999976821758,ok
31,6.9167932116719815,7849,1108,0.2762905546609248,-0.38919639587402344,0.029971778392791748,0.062372587621212006,-0.8811209066749386,0.2894837781356301,ok
51,6.913009759977969,22240,13625,1.1990639194569774,0.6959309577941895,0.03802227973937988,0.046342313289642334,-0.8815806280313018,0.0,ok
129,6.861548829674016,44220,13819,0.6116436700537108,1.517988681793213,0.05830693244934082,0.18441349267959595,-0.8878335659811862,0.17624767465912106,ok
175,6.559056337764875,55741,25603,0.8989938224498257,0.4966866970062256,0.028489887714385986,0.07841378450393677,-0.9245889602393517,0.04040247102006971,ok
2,6.3909660214178405,6978,6128,1.7188120846712014,0.4047771692276001,0.07005536556243896,0.19879978895187378,-0.9450133542774382,0.0017262691845103463,ok
21,6.364930382925516,2800,1885,1.3176313828844872,1.0686912536621094,0.0325278639793396,0.09101073443889618,-0.9481769043923808,0.0,ok
98,6.18922696206096,63688,48836,1.5008008987508659,1.0552334785461426,-0.000965118408203125,-0.0020954757928848267,-0.9695263549708927,0.0,ok
87,5.962046816213409,11519,5531,0.9397871168200468,0.669865608215332,0.044502854347229004,0.13965600728988647,-0.9971306626862801,0.024085153271981286,ok
102,5.914818231450877,79918,41102,1.0066047026988534,1.160262107849121,0.05340993404388428,0.13519789278507233,-1.0028693348835507,0.0006534432488240662,ok
60,5.913501000963369,49407,24895,0.9861983084941365,0.4787721633911133,0.011307477951049805,0.021798312664031982,-1.0030293895202516,0.005520676602345409,ok
140,5.9015927946090905,75765,20079,0.5186973857173214,0.9171662330627441,0.05058544874191284,0.16755267977714539,-1.004476337233554,0.19252104571307146,ok
39,5.8814590721636195,4499,5092,2.2152003368404136,0.27317380905151367,0.024088561534881592,0.0631592720746994,-1.0069227546692305,0.0,ok
108,5.713945702702719,11864,3632,0.5991772408866393,1.6462516784667969,0.050300419330596924,0.16374166309833527,-1.0272770447846309,0.1884955007198124,ok
83,5.40868202478554,24658,19237,1.5269334308757463,1.3151445388793945,0.03743386268615723,0.12017571926116943,-1.064369161563231,0.009421683209042714,ok
86,5.161906447710407,26272,19623,1.4618838737807298,0.010997772216796875,0.022586345672607422,0.044637441635131836,-1.0943544797819957,0.0,ok
92,5.107028258302418,2212,776,0.6866211953922453,1.3032279014587402,0.05610102415084839,0.17068180441856384,-1.1010226435937138,0.13409857762198246,ok
63,4.945636914906666,9246,6647,1.4070592858388786,0.6988880634307861,0.07350391149520874,0.19671672582626343,-1.1206330558023831,0.005150399880576826,ok
62,4.705086395469711,15260,11830,1.5172977645363914,0.5434389114379883,-0.00132673978805542,-0.009837865829467773,-1.149861976907531,0.0,ok
82,4.5251650754849,79540,25593,0.6297616597161498,1.0690360069274902,0.04799807071685791,0.12866267561912537,-1.1717239378763922,0.14809533611354006,ok
61,4.521877663317797,23016,19320,1.642925536946717,0.5093884468078613,0.053292691707611084,0.15014541149139404,-1.1721233862379972,0.0,ok
156,4.501288111883083,34122,15922,0.9132795811192552,0.49594831466674805,0.05510532855987549,0.14118731021881104,-1.1746251907482692,0.034688167552297915,ok
3,3.798226134853185,1611,842,1.0229564806571751,0.5016837120056152,0.04380762577056885,0.13383613526821136,-1.2600531628297087,0.0,ok
0,3.4546225824551486,1427,903,1.2385238786217074,0.6260824203491211,0.024632036685943604,0.10621693730354309,-1.3018038983841287,0.0,ok
107,3.2452324096955865,4058,2637,1.2718581991711562,0.5753765106201172,-0.0028554201126098633,0.0031008124351501465,-1.3272465740187847,0.0,ok
106,3.2063601690571666,3998,1670,0.8175499349632194,1.245438575744629,0.039845049381256104,0.1376379132270813,-1.3319698797819985,0.07845549913809124,ok
124,3.0781598216442356,30893,18721,1.1860679371219847,0.606482982635498,0.041587650775909424,0.12552309036254883,-1.347547305467696,0.0,ok
91,2.9317115130767686,4255,2850,1.310949319778972,0.8397297859191895,0.07831579446792603,0.24018028378486633,-1.3653420126548599,0.016871065239845044,ok
120,2.765689620190239,2924,1101,0.7369712698995774,-0.1995377540588379,0.010267794132232666,0.045530468225479126,-1.3855150757613788,0.10521149204016905,ok
131,2.7478462924885747,33203,17911,1.0558035439538889,0.18924331665039062,0.0051375627517700195,0.014511913061141968,-1.387683190878594,0.0,ok
81,2.7323268165095023,7324,2143,0.5726831991519524,0.33860015869140625,0.02742326259613037,0.06864113360643387,-1.3895689383716667,0.17092672033921905,ok
25,2.694571379657763,56869,33746,1.1614146972811097,0.879819393157959,0.038395583629608154,0.11468684673309326,-1.3941565430362206,0.0,ok
65,2.1299073095112684,3207,2216,1.3524194346951035,0.6863193511962891,0.029382944107055664,0.11169402301311493,-1.4627679997724388,0.0,ok
145,1.9897862634129986,2237,1144,1.0009229502034365,-0.2775611877441406,-0.005155086517333984,-0.01981479860842228,-1.4797938910952402,0.0,ok
168,1.9458277922528868,4066,4391,2.1136675003409517,-0.005112648010253906,-0.008426547050476074,-0.012555480003356934,-1.4851352168527119,0.0,ok
44,1.8388478888807387,2834,1087,0.750706722827063,-0.33693504333496094,0.002646803855895996,0.0022769123315811157,-1.4981341792445613,0.09971731086917482,ok
90,1.6900820458205745,7662,4647,1.1870557930341956,0.47139883041381836,0.03368508815765381,0.09223462641239166,-1.5162104864590462,0.0,ok
113,1.3296305570578424,5007,3481,1.3607145818346114,-0.14192867279052734,0.005507290363311768,0.01445511169731617,-1.560008388670769,0.0,ok
119,1.2633518071638763,2845,995,0.6845125531256719,-0.23317432403564453,-0.009857356548309326,-0.02344563603401184,-1.5680618169324623,0.12619497874973123,ok
