class,group,reference_support,target_support,static_f1,best_proto_f1,delta_f1,static_recall,best_proto_recall,delta_recall
150,other,2305,1291,0.7224264705882353,0.7336322869955157,0.011205816407280467,0.6088303640588691,0.6336173508907823,0.02478698683191316
151,other,2021,872,0.6416593115622242,0.6397542781921896,-0.00190503337003467,0.8337155963302753,0.8360091743119266,0.002293577981651307
152,other,1673,729,0.7201946472019465,0.7082990961380444,-0.011895551063902055,0.6090534979423868,0.5912208504801097,-0.017832647462277085
153,other,70973,59235,0.810052304817457,0.8033687552361215,-0.006683549581335546,0.7830505613235418,0.7689541656115473,-0.014096395711994503
154,other,2978,1862,0.5724725943970768,0.5841821449970042,0.011709550599927399,0.5048335123523093,0.5236305048335124,0.018796992481203034
155,other,11183,5650,0.592071311283134,0.5989570798235058,0.006885768540371817,0.6700884955752212,0.66070796460177,-0.009380530973451262
156,other,32897,11350,0.7414931064828395,0.7304316416832219,-0.01106146479961756,0.8908370044052863,0.8908370044052863,0.0
157,other,2075,800,0.49772036474164133,0.4512610770279482,-0.04645928771369312,0.81875,0.8275,0.008750000000000036
158,other,12544,5549,0.7169658084950865,0.7288439589108103,0.01187815041572382,0.795458641196612,0.8055505496485853,0.010091908451973275
159,other,3182,1740,0.4109681787406906,0.4226289517470882,0.011660773006397618,0.3488505747126437,0.3649425287356322,0.01609195402298852
160,other,1553,1048,0.47699004975124376,0.46611972044971134,-0.010870329301532422,0.7318702290076335,0.7318702290076335,0.0
161,other,3031,334,0.8110918544194108,0.8166089965397924,0.0055171421203815685,0.7005988023952096,0.7065868263473054,0.005988023952095856
162,other,486,59,0.4114285714285714,0.3465346534653465,-0.06489391796322491,0.6101694915254238,0.5932203389830508,-0.016949152542372947
163,other,3156,1741,0.025738798856053385,0.021385402138540215,-0.004353396717513169,0.015508328546812177,0.013210798391728892,-0.0022975301550832855
164,bad,3315,1689,0.26493144317917733,0.2746552323560088,0.009723789176831477,0.6749555950266429,0.7015985790408525,0.026642984014209614
165,other,5176,4989,0.6357827476038339,0.6603665050538253,0.024583757449991417,0.7578673080777711,0.8053718179995991,0.047504509921827975
166,other,2317,1835,0.5669914738124239,0.5650602409638554,-0.0019312328485684427,0.5073569482288829,0.5111716621253406,0.003814713896457711
167,other,668,55,0.11009174311926606,0.11965811965811966,0.009566376538853602,0.21818181818181817,0.2545454545454545,0.03636363636363635
168,other,3924,4221,0.786809103576405,0.7805660593560215,-0.006243044220383465,0.802653399668325,0.8069177919924189,0.004264392324093813
169,other,2891,1502,0.8663845223700121,0.8767123287671232,0.010327806397111172,0.9540612516644474,0.9587217043941412,0.0046604527296937315
170,other,3774,1916,0.5357881671493587,0.5537348371994041,0.017946670050045355,0.6758872651356994,0.6790187891440501,0.0031315240083507057
171,other,7082,4142,0.6049676760802994,0.5999548736462094,-0.00501280243409008,0.6438918396909705,0.6419604056011589,-0.0019314340898116678
172,other,7688,5558,0.700560603131645,0.7203357497138497,0.019775146582204695,0.6520331054336093,0.6793810723281756,0.02734796689456631
173,other,4960,978,0.7655384615384615,0.7707317073170732,0.005193245778611688,0.6359918200408998,0.6462167689161554,0.010224948875255602
174,bad,4246,1507,0.0,0.0,0.0,0.0,0.0,0.0
175,other,50628,22084,0.6193302157820789,0.6231707317073171,0.0038405159252381527,0.66867415323311,0.6710287991305923,0.0023546458974823548
176,other,4309,2085,0.4603281636322769,0.46203904555314534,0.0017108819208684345,0.49112709832134294,0.5107913669064749,0.019664268585131928
177,other,1540,1117,0.5517023959646911,0.5589519650655022,0.007249569100811093,0.7833482542524619,0.8021486123545211,0.018800358102059156
