norm,period,class_id,groups,support,precision,recall,f1
gn,M-2022-7,117,,45039,0.5546501956193586,0.7995070938519949,0.6549412973690673
gn,M-2022-7,118,degraded_noncollapsed,1354,0.6144636015325671,0.947562776957164,0.7454968041836142
gn,M-2022-7,119,stable,1430,0.9193899782135077,0.8853146853146853,0.9020306376914856
gn,M-2022-7,120,,1510,0.8423052564914503,0.8807947019867549,0.861120103593396
gn,M-2022-7,121,final_collapsed;gradual_collapsed,7,0.0,0.0,0.0
gn,M-2022-7,122,,41710,0.9025825433148088,0.860537041476864,0.8810584582152018
gn,M-2022-7,123,degraded_noncollapsed,1121,0.8445642407906558,0.8385370205173952,0.8415398388540735
gn,M-2022-7,124,,20257,0.9072508454346528,0.9005775781211434,0.903901895206243
gn,M-2022-7,125,,2871,0.665081351689612,0.9254615116684082,0.7739586367608505
gn,M-2022-7,126,,1107,0.9150197628458498,0.8364950316169828,0.8739971684756961
gn,M-2022-7,127,,2163,0.8434093161546086,0.7868700878409616,0.8141592920353983
gn,M-2022-7,128,stable,2154,0.7047391749062394,0.9596100278551533,0.8126597208570867
gn,M-2022-7,129,degraded_noncollapsed,19427,0.886508283534956,0.9392597930714984,0.9121219695076231
gn,M-2022-7,130,stable,4594,0.8135491606714629,0.8861558554636483,0.8483017295269848
gn,M-2022-7,131,stable,26165,0.9171378860374075,0.967017007452704,0.9414172232247503
gn,M-2022-7,132,stable,10712,0.9377503852080123,0.8522218073188947,0.8929427299848388
gn,M-2022-7,133,,36135,0.8432236018866108,0.9697246436972464,0.9020607277548236
gn,M-2022-7,134,,6337,0.9233254994124559,0.9919520277733943,0.9564092810954735
gn,M-2022-7,135,,1882,0.6320201173512154,0.8012752391073327,0.7066541705716963
gn,M-2022-7,136,,14759,0.865318981359937,0.8932854529439664,0.8790798466411068
gn,M-2022-7,137,degraded_noncollapsed,1585,0.6509635974304069,0.19179810725552052,0.2962962962962963
