rule,threshold_name,threshold_value,coverage,reject_rate,accepted_accuracy,accepted_macro_f1,collapsed_reject_rate,abrupt_reject_rate,gradual_reject_rate,stable_false_reject_rate,stable_coverage,collapsed_coverage,original_collapse_absorber_errors,kept_collapse_absorber_errors,absorber_error_reduction,original_pair_absorber_errors,kept_pair_absorber_errors,pair_absorber_error_reduction,num_rejected,num_accepted,num_collapsed_samples,num_stable_samples
hybrid,conf_p15_margin_p15_dist_p90,0.2449350357055664,0.7032505747994191,0.2967494252005809,0.9206332603438808,0.8040951918400491,0.6491323210412148,0.6203512396694215,0.7663430420711974,0.07849606153185425,0.9215039384681457,0.35086767895878523,8907,227,0.9745144268552823,7776,227,0.9708076131687243,613195,1453178,31348,204902
hybrid,conf_p15_margin_p15_dist_p95,0.2717369496822357,0.7039924544116672,0.2960075455883328,0.9206460939664305,0.8041815064649347,0.6491004210794947,0.620311506675143,0.7663430420711974,0.07848142038633103,0.921518579613669,0.3508995789205053,8907,228,0.9744021556079488,7776,228,0.970679012345679,611662,1454711,31348,204902
hybrid,conf_p15_margin_p15_dist_p97,0.2888748198747636,0.704157961800701,0.29584203819929894,0.9206324443164613,0.8041664476617048,0.6490685211177747,0.620311506675143,0.7661812297734628,0.07848142038633103,0.921518579613669,0.35093147888222537,8907,229,0.9742898843606153,7776,229,0.9705504115226338,611320,1455053,31348,204902
hybrid,conf_p15_margin_p15_dist_p99,0.3192392587661743,0.7042165185085171,0.2957834814914829,0.9206273614014544,0.8041744625730032,0.6490685211177747,0.620311506675143,0.7661812297734628,0.07848142038633103,0.921518579613669,0.35093147888222537,8907,229,0.9742898843606153,7776,229,0.9705504115226338,611199,1455174,31348,204902
hybrid,conf_p20_margin_p20_dist_p70,0.18611037731170654,0.631580068070963,0.368419931929037,0.9464469611058326,0.827986468816038,0.7307005231593722,0.7040686586141132,0.8391585760517799,0.10772954875989497,0.8922704512401051,0.26929947684062777,8907,40,0.9955091501066576,7776,40,0.9948559670781894,761293,1305080,31348,204902
hybrid,conf_p20_margin_p20_dist_p80,0.2109503149986267,0.6342688372331616,0.3657311627668383,0.946590052463079,0.8303221944571076,0.729807324231211,0.7039891926255563,0.8349514563106796,0.10771978799621282,0.8922802120037872,0.2701926757687891,8907,68,0.9923655551813181,7776,68,0.9912551440329218,755737,1310636,31348,204902
hybrid,conf_p20_margin_p20_dist_p85,0.22680793702602386,0.6357496928192539,0.3642503071807462,0.9466063685966921,0.8308172315111265,0.7269044277146868,0.7006118881118881,0.8339805825242719,0.10771978799621282,0.8922802120037872,0.2730955722853133,8907,159,0.9821488716739643,7776,159,0.9795524691358025,752677,1313696,31348,204902
hybrid,conf_p20_margin_p20_dist_p90,0.2449350357055664,0.6367674180798917,0.3632325819201083,0.9466225464527637,0.8310164628268594,0.7256603292076049,0.6993006993006993,0.8330097087378641,0.10771978799621282,0.8922802120037872,0.2743396707923951,8907,198,0.9777702930279555,7776,198,0.9745370370370371,750574,1315799,31348,204902
hybrid,conf_p20_margin_p20_dist_p95,0.2717369496822357,0.6374570322008659,0.36254296779913403,0.9466385368016373,0.831137513434803,0.7256603292076049,0.6993006993006993,0.8330097087378641,0.10771490761437175,0.8922850923856283,0.2743396707923951,8907,198,0.9777702930279555,7776,198,0.9745370370370371,749149,1317224,31348,204902
hybrid,conf_p20_margin_p20_dist_p97,0.2888748198747636,0.6376070535184113,0.36239294648158876,0.9466298402925465,0.8311208893325857,0.7256284292458849,0.6993006993006993,0.8328478964401295,0.10771490761437175,0.8922850923856283,0.2743715707541151,8907,199,0.977658021780622,7776,199,0.9744084362139918,748839,1317534,31348,204902
hybrid,conf_p20_margin_p20_dist_p99,0.3192392587661743,0.6376607708288872,0.3623392291711129,0.946626746961435,0.8311280757516575,0.7256284292458849,0.6993006993006993,0.8328478964401295,0.10771490761437175,0.8922850923856283,0.2743715707541151,8907,199,0.977658021780622,7776,199,0.9744084362139918,748728,1317645,31348,204902
hybrid,conf_p30_margin_p30_dist_p70,0.18611037731170654,0.5167687537535576,0.4832312462464424,0.9776520199243892,0.8632945088367298,0.8361617966058441,0.8169898283534647,0.9142394822006472,0.17561077978741058,0.8243892202125894,0.16383820339415592,8907,15,0.9983159312899966,7776,15,0.998070987654321,998536,1067837,31348,204902
