period,true_class,pred_class,confusion_count,confusion_rate,rank_in_period
M-2022-10,126,60,24,0.02973977695167286,347
M-2022-10,159,29,73,0.02971102971102971,348
M-2022-10,29,122,1035,0.029638326508404686,349
M-2022-10,56,90,317,0.02960956473005791,350
M-2022-10,85,87,33,0.029596412556053813,351
M-2022-10,47,65,1,0.029411764705882353,352
M-2022-10,47,134,1,0.029411764705882353,353
M-2022-10,139,156,56,0.02938090241343127,354
M-2022-10,91,83,105,0.029085872576177285,355
M-2022-10,41,153,70,0.029069767441860465,356
M-2022-10,79,82,358,0.029023104985812728,357
M-2022-10,139,141,55,0.028856243441762856,358
M-2022-10,67,29,124,0.028810408921933085,359
M-2022-10,117,102,2405,0.028791016723929464,360
M-2022-10,129,153,892,0.02872970883792837,361
M-2022-10,157,153,50,0.02865329512893983,362
M-2022-10,26,155,40,0.02857142857142857,363
M-2022-10,94,170,10,0.02857142857142857,364
M-2022-10,15,171,27,0.028391167192429023,365
M-2022-10,158,140,322,0.028380045831129914,366
M-2022-10,101,100,1560,0.028187846701479863,367
M-2022-10,22,140,33,0.02801358234295416,368
M-2022-10,52,111,62,0.027953110910730387,369
M-2022-10,138,117,498,0.027864816472694717,370
M-2022-10,8,28,54,0.027835051546391754,371
M-2022-10,97,138,1270,0.027824639046513156,372
M-2022-10,2,153,141,0.0277231616201337,373
M-2022-10,104,143,66,0.027603513174404015,374
M-2022-10,140,19,1073,0.02749589995899959,375
M-2022-10,162,105,7,0.027450980392156862,376
M-2022-10,162,160,7,0.027450980392156862,377
M-2022-10,16,14,66,0.027442827442827444,378
M-2022-10,174,25,74,0.027387120651369355,379
M-2022-10,78,82,442,0.027329499783589933,380
M-2022-10,120,14,65,0.027299454010919783,381
M-2022-10,104,131,65,0.027185278126306986,382
M-2022-10,127,18,229,0.026796161947109758,383
M-2022-10,21,142,106,0.02677443798939126,384
M-2022-10,139,140,51,0.026757607555089193,385
M-2022-10,82,72,942,0.026724920562868817,386
M-2022-10,45,105,41,0.026692708333333332,387
M-2022-10,137,79,16,0.02666666666666667,388
M-2022-10,16,111,64,0.026611226611226613,389
M-2022-10,168,105,111,0.02660594439117929,390
M-2022-10,72,77,271,0.02624189019076208,391
M-2022-10,115,175,553,0.026203563305534496,392
M-2022-10,88,12,6,0.026200873362445413,393
M-2022-10,88,96,6,0.026200873362445413,394
M-2022-10,88,156,6,0.026200873362445413,395
M-2022-10,65,176,85,0.026129726406394098,396
M-2022-10,93,131,908,0.026063493885986565,397
M-2022-10,158,142,295,0.02600035254715318,398
M-2022-10,92,61,47,0.025966850828729283,399
M-2022-10,16,86,62,0.02577962577962578,400
M-2022-10,94,83,9,0.025714285714285714,401
M-2022-10,7,6,1,0.02564102564102564,402
M-2022-10,7,151,1,0.02564102564102564,403
M-2022-10,90,96,154,0.02528735632183908,404
M-2022-10,32,154,45,0.025238362310712283,405
M-2022-10,96,122,1540,0.025237213418331395,406
M-2022-10,139,68,48,0.025183630640083946,407
M-2022-10,37,166,28,0.025112107623318385,408
M-2022-10,163,143,53,0.02504725897920605,409
M-2022-10,163,159,53,0.02504725897920605,410
M-2022-10,11,61,50,0.02498750624687656,411
M-2022-10,160,42,60,0.024927295388450354,412
M-2022-10,135,70,74,0.024848891873740765,413
M-2022-10,49,71,1064,0.024794929157345266,414
M-2022-10,117,122,2052,0.024565141919959777,415
M-2022-10,14,71,245,0.02448286199660238,416
M-2022-10,33,122,3,0.024193548387096774,417
M-2022-10,33,142,3,0.024193548387096774,418
M-2022-10,33,143,3,0.024193548387096774,419
M-2022-10,139,86,46,0.024134312696747113,420
M-2022-10,97,149,1101,0.024121990228512587,421
M-2022-10,5,151,70,0.024121295658166782,422
M-2022-10,82,75,848,0.024058102587380843,423
M-2022-10,167,71,3,0.024,424
M-2022-10,167,149,3,0.024,425
M-2022-10,19,153,699,0.02397119341563786,426
M-2022-10,20,147,57,0.02386934673366834,427
M-2022-10,154,86,75,0.023817084788821847,428
M-2022-10,147,153,19,0.02372034956304619,429
M-2022-10,67,153,102,0.023698884758364312,430
M-2022-10,13,159,38,0.023646546359676415,431
M-2022-10,162,61,6,0.023529411764705882,432
M-2022-10,50,122,73,0.02347266881028939,433
M-2022-10,40,82,23,0.023445463812436288,434
M-2022-10,142,153,649,0.023359608393622,435
M-2022-10,175,82,837,0.023248062661444878,436
M-2022-10,28,95,272,0.023178525777588412,437
M-2022-10,15,153,22,0.023133543638275498,438
M-2022-10,13,49,37,0.023024268823895456,439
M-2022-10,10,12,33,0.02301255230125523,440
M-2022-10,10,61,33,0.02301255230125523,441
M-2022-10,146,149,128,0.022988505747126436,442
M-2022-10,173,95,32,0.02297200287150036,443
M-2022-10,46,49,269,0.022963974731091002,444
M-2022-10,174,71,62,0.0229459659511473,445
M-2022-10,67,136,98,0.022769516728624536,446
M-2022-10,21,117,90,0.022733013387218996,447
M-2022-10,66,133,96,0.022716516800757217,448
M-2022-10,92,3,41,0.022651933701657457,449
