period,class_id,support,centroid_shift_from_ref,radius,delta_radius_from_ref,nearest_other_class,nearest_centroid_distance,delta_nearest_distance_from_ref,margin,delta_margin_from_ref,top_confusion_partner,top_confusion_partner_rate,confusion_partner_distance,ref_top_confusion_partner,ref_top_confusion_partner_distance,ref_distance_to_current_partner,delta_current_partner_distance_from_ref
M-2022-4,63,11152,0.0,7.980510711669922,0.0,60,3.430480718612671,0.0,-4.550029993057251,0.0,60,0.10616929698708752,3.430480718612671,60,3.430480718612671,3.430480718612671,0.0
M-2022-4,64,2437,0.0,6.952212333679199,0.0,168,3.3317012786865234,0.0,-3.620511054992676,0.0,168,0.051702913418137056,3.3317012786865234,168,3.3317012786865234,3.3317012786865234,0.0
M-2022-4,65,3145,0.0,4.286617279052734,0.0,106,4.659673690795898,0.0,0.37305641174316406,0.0,107,0.009220985691573928,5.227299690246582,107,5.227299690246582,5.227299690246582,0.0
M-2022-4,66,5149,0.0,6.78634786605835,0.0,143,5.13324499130249,0.0,-1.6531028747558594,0.0,133,0.010099048358904641,6.423084259033203,133,6.423084259033203,6.423084259033203,0.0
M-2022-4,67,854,0.0,7.778066635131836,0.0,13,2.850883722305298,0.0,-4.927182912826538,0.0,46,0.16978922716627634,4.160336494445801,46,4.160336494445801,4.160336494445801,0.0
M-2022-4,68,7271,0.0,7.370747089385986,0.0,50,3.737952947616577,0.0,-3.632794141769409,0.0,153,0.02929445743364049,5.167975425720215,153,5.167975425720215,5.167975425720215,0.0
M-2022-4,69,879,0.0,6.910245895385742,0.0,105,4.295083045959473,0.0,-2.6151628494262695,0.0,104,0.03185437997724687,4.692135810852051,104,4.692135810852051,4.692135810852051,0.0
M-2022-4,70,2642,0.0,7.704878330230713,0.0,82,3.6487133502960205,0.0,-4.056164979934692,0.0,82,0.10976532929598788,3.6487133502960205,82,3.6487133502960205,3.6487133502960205,0.0
M-2022-4,71,149408,0.0,8.864776611328125,0.0,82,3.233531951904297,0.0,-5.631244659423828,0.0,82,0.02406832298136646,3.233531951904297,82,3.233531951904297,3.233531951904297,0.0
M-2022-4,72,17880,0.0,8.37066650390625,0.0,82,3.674029588699341,0.0,-4.696636915206909,0.0,71,0.054642058165548096,3.974828004837036,71,3.974828004837036,3.974828004837036,0.0
M-2022-4,73,29211,0.0,5.576393127441406,0.0,75,4.594153881072998,0.0,-0.9822392463684082,0.0,82,0.007531409400568279,5.259551525115967,82,5.259551525115967,5.259551525115967,0.0
M-2022-4,74,9210,0.0,8.693154335021973,0.0,175,3.7370219230651855,0.0,-4.956132411956787,0.0,77,0.098371335504886,4.056864261627197,77,4.056864261627197,4.056864261627197,0.0
M-2022-4,75,28060,0.0,7.43698787689209,0.0,82,3.4337644577026367,0.0,-4.003223419189453,0.0,71,0.04240912330719886,4.6311211585998535,71,4.6311211585998535,4.6311211585998535,0.0
M-2022-4,76,10523,0.0,7.989165306091309,0.0,175,3.9048197269439697,0.0,-4.084345579147339,0.0,175,0.029744369476385063,3.9048197269439697,175,3.9048197269439697,3.9048197269439697,0.0
M-2022-4,77,81932,0.0,9.47087287902832,0.0,175,2.862924575805664,0.0,-6.607948303222656,0.0,175,0.027400771371381145,2.862924575805664,175,2.862924575805664,2.862924575805664,0.0
M-2022-4,78,48009,0.0,7.088164329528809,0.0,71,5.254162311553955,0.0,-1.8340020179748535,0.0,71,0.019662979857943304,5.254162311553955,71,5.254162311553955,5.254162311553955,0.0
M-2022-4,79,25102,0.0,8.128451347351074,0.0,175,3.062697649002075,0.0,-5.065753698348999,0.0,77,0.06967572304995617,3.584693193435669,77,3.584693193435669,3.584693193435669,0.0
