class,group,reference_support,target_support,accepted_updates,static_f1,best_capspp_f1,delta_f1,static_recall,best_capspp_recall,delta_recall
23,other,12840,5114,3084,0.8492664236987197,0.8457628684964421,-0.0035035552022776306,0.8885412592882284,0.8947985921001174,0.006257332811889005
24,other,10253,4154,828,0.5630001569119724,0.6368474039982741,0.07384724708630175,0.43187289359653347,0.5329802599903707,0.10110736639383722
25,other,54557,34385,16666,0.8588748146952195,0.867243741074291,0.008368926379071495,0.8508942852988222,0.8653773447724299,0.014483059473607729
26,bad,2293,807,26,0.024539877300613498,0.0340993328391401,0.009559455538526603,0.022304832713754646,0.028500619578686492,0.006195786864931847
27,other,19386,7371,5160,0.9089068825910931,0.9193995873941808,0.010492704803087727,0.8528015194681862,0.8766788766788767,0.02387735721069051
28,bad,16366,5815,816,0.3217811384162991,0.3227487694238008,0.0009676310075017458,0.26345657781599313,0.28753224419604473,0.024075666380051597
29,other,29653,30274,8409,0.8087042946068944,0.801573708219573,-0.007130586387321447,0.7660038316707406,0.7806698817467134,0.01466605007597277
30,other,8131,645,470,0.8975206611570248,0.9031719532554258,0.005651292098400984,0.8418604651162791,0.8387596899224806,-0.0031007751937984773
31,other,7973,952,886,0.8941747572815534,0.8651685393258427,-0.029006217955710678,0.967436974789916,0.9705882352941176,0.0031512605042016695
32,other,2331,998,70,0.3008015087223008,0.33756805807622503,0.036766549353924205,0.3196392785571142,0.3727454909819639,0.0531062124248497
33,other,204,630,16,0.6793206793206793,0.6480558325024925,-0.03126484681818675,0.5396825396825397,0.5158730158730159,-0.023809523809523725
34,other,588,1240,246,0.5924453280318092,0.6153119092627599,0.022866581230950755,0.4806451612903226,0.525,0.044354838709677435
35,other,875,930,525,0.7747972551466001,0.7639323731997495,-0.010864881946850646,0.667741935483871,0.6559139784946236,-0.011827956989247324
36,other,826,216,20,0.3619047619047619,0.358974358974359,-0.00293040293040292,0.2638888888888889,0.25925925925925924,-0.00462962962962965
37,other,1989,866,671,0.9060773480662984,0.8981086028065893,-0.007968745259709031,0.8521939953810623,0.8498845265588915,-0.002309468822170868
38,bad,77,193,20,0.08968609865470852,0.11063829787234042,0.020952199217631903,0.05181347150259067,0.06735751295336788,0.015544041450777209
39,other,4388,4483,2499,0.9025587467362924,0.9013226957799706,-0.0012360509563218436,0.9638634842739238,0.9576176667410217,-0.006245817532902098
40,other,2334,737,324,0.6259808195292066,0.6067019400352733,-0.019278879493933254,0.4871099050203528,0.46675712347354137,-0.020352781546811416
41,other,2121,1636,572,0.6569659442724458,0.6467455621301775,-0.01022038214226828,0.6485330073349633,0.6680929095354523,0.019559902200488977
42,other,1839,1444,71,0.40711462450592883,0.5102040816326531,0.10308945712672424,0.2853185595567867,0.3981994459833795,0.11288088642659277
43,other,2042,1992,356,0.7986024457199901,0.7705437698122409,-0.02805867590774913,0.8032128514056225,0.7931726907630522,-0.010040160642570295
44,stable,2910,1181,1032,0.9479717813051146,0.9434782608695652,-0.004493520435549403,0.9102455546147333,0.9187129551227773,0.008467400508043954
