period,true_class,pred_class,confusion_count,confusion_rate,rank_in_period
M-2022-11,104,110,68,0.02500919455682236,476
M-2022-11,36,105,28,0.024977698483496878,477
M-2022-11,22,156,28,0.024888888888888887,478
M-2022-11,171,86,193,0.02486152260723947,479
M-2022-11,9,82,35,0.024752475247524754,480
M-2022-11,168,105,114,0.024739583333333332,481
M-2022-11,67,61,62,0.024720893141945772,482
M-2022-11,97,138,1105,0.02464867276377426,483
M-2022-11,117,122,2339,0.024623126157992253,484
M-2022-11,27,83,342,0.02455661664392906,485
M-2022-11,92,155,36,0.024539877300613498,486
M-2022-11,139,68,55,0.024422735346358793,487
M-2022-11,29,122,1079,0.024396861645601103,488
M-2022-11,152,83,21,0.024390243902439025,489
M-2022-11,39,61,111,0.024358130348913758,490
M-2022-11,94,101,14,0.02434782608695652,491
M-2022-11,161,117,19,0.024203821656050957,492
M-2022-11,142,153,661,0.024114406625077522,493
M-2022-11,47,165,2,0.024096385542168676,494
M-2022-11,176,170,92,0.024002087138012,495
M-2022-11,139,141,54,0.023978685612788632,496
M-2022-11,30,64,13,0.02389705882352941,497
M-2022-11,156,105,627,0.02389572773352643,498
M-2022-11,79,82,305,0.023844890938941442,499
M-2022-11,33,143,5,0.023809523809523808,500
M-2022-11,82,75,1094,0.02377433936022253,501
M-2022-11,8,156,49,0.023682938617689706,502
M-2022-11,131,133,647,0.02364938957526135,503
M-2022-11,50,137,34,0.02364394993045897,504
M-2022-11,127,18,194,0.023629719853836783,505
M-2022-11,15,93,20,0.02358490566037736,506
M-2022-11,2,153,181,0.023476005188067445,507
M-2022-11,106,65,68,0.023448275862068966,508
M-2022-11,154,60,85,0.023345234825597364,509
M-2022-11,9,68,33,0.02333804809052334,510
M-2022-11,162,151,4,0.023255813953488372,511
M-2022-11,121,46,1,0.023255813953488372,512
M-2022-11,121,55,1,0.023255813953488372,513
M-2022-11,121,71,1,0.023255813953488372,514
M-2022-11,121,111,1,0.023255813953488372,515
M-2022-11,121,154,1,0.023255813953488372,516
M-2022-11,143,67,146,0.02324100604902897,517
M-2022-11,8,142,48,0.02319961333977767,518
M-2022-11,92,107,34,0.023176550783912748,519
M-2022-11,67,153,58,0.023125996810207338,520
M-2022-11,13,136,53,0.02309368191721133,521
M-2022-11,163,29,53,0.023023457862728063,522
M-2022-11,111,172,52,0.02287725472943247,523
M-2022-11,93,133,749,0.02282284112377354,524
M-2022-11,19,153,874,0.022713097713097714,525
M-2022-11,170,77,70,0.02268308489954634,526
M-2022-11,105,34,88,0.0226628895184136,527
M-2022-11,129,149,800,0.022651339260433775,528
M-2022-11,78,82,383,0.022566580249823238,529
M-2022-11,150,102,34,0.022339027595269383,530
M-2022-11,130,110,158,0.0222692036645525,531
M-2022-11,66,71,73,0.022262885025922538,532
M-2022-11,50,149,32,0.022253129346314324,533
M-2022-11,38,153,2,0.022222222222222223,534
M-2022-11,38,156,2,0.022222222222222223,535
M-2022-11,16,106,50,0.022123893805309734,536
M-2022-11,152,3,19,0.022067363530778164,537
M-2022-11,45,115,38,0.022054556006964595,538
M-2022-11,124,156,702,0.02204150836760966,539
M-2022-11,109,71,33,0.022014676450967312,540
M-2022-11,89,26,13,0.021996615905245348,541
M-2022-11,24,133,75,0.02198768689533861,542
M-2022-11,32,133,33,0.021956087824351298,543
M-2022-11,32,156,33,0.021956087824351298,544
M-2022-11,135,93,60,0.021778584392014518,545
M-2022-11,139,49,49,0.021758436944937832,546
M-2022-11,80,74,37,0.021739130434782608,547
M-2022-11,19,20,836,0.021725571725571727,548
M-2022-11,130,155,154,0.021705426356589147,549
M-2022-11,104,143,59,0.021699154100772344,550
M-2022-11,103,117,57,0.02169775409212029,551
M-2022-11,105,115,84,0.021632758176667526,552
M-2022-11,60,63,1276,0.021629684877866866,553
M-2022-11,122,103,1356,0.02162748413027529,554
M-2022-11,34,160,44,0.021621621621621623,555
M-2022-11,112,142,41,0.02157894736842105,556
M-2022-11,165,91,119,0.021565784704603116,557
M-2022-11,111,124,49,0.02155741311042675,558
M-2022-11,20,21,44,0.021473889702293802,559
M-2022-11,176,149,82,0.021393164623010698,560
M-2022-11,84,1,15,0.02130681818181818,561
M-2022-11,46,49,258,0.021248558721792127,562
M-2022-11,17,153,286,0.021215043394406944,563
M-2022-11,141,153,38,0.021134593993325918,564
M-2022-11,176,65,81,0.021132272371510566,565
M-2022-11,41,143,58,0.02112163146394756,566
M-2022-11,52,82,52,0.021103896103896104,567
M-2022-11,11,176,64,0.020949263502454993,568
M-2022-11,154,86,76,0.02087338643229882,569
M-2022-11,154,156,76,0.02087338643229882,570
M-2022-11,50,71,30,0.02086230876216968,571
M-2022-11,6,151,49,0.020833333333333332,572
M-2022-11,170,17,64,0.020738820479585224,573
