period,class_id,support,ref_support,size_sum_w1,direction_front_0_9_sum_w1,ipt_tail_20_29_sum_w1,total_norm_w1,total_norm_w1_std_floor_1,total_log_w1,delta_f1_from_ref
M-2022-5,29,31966,29653,1206.4848432208667,0.16984185505888338,13.322085415219137,1.3720989833554191,1.0678498586687435,2.0525233335385384,-0.019603345467066435
M-2022-5,30,8566,8131,5220.767574471418,1.1236628994288107,81.68158414197734,6.381556984692108,5.779786845077077,7.234010615019367,0.0029971026294971503
M-2022-5,31,10445,7973,858.9460412376745,0.2646215323293422,10.20756172234479,1.9063307598133403,1.611211382731149,2.134277316368695,0.005539453066650046
M-2022-5,32,2935,2331,8327.035213992322,0.6155090598020752,89.1054361735793,3.964415416610571,3.4993347911486343,5.8750754729934025,-0.07437657399177544
M-2022-5,33,253,204,12281.734906610876,1.346004805084089,427.8585406494614,13.201276334592983,10.51881670728732,20.687507450788473,0.1793418359313494
M-2022-5,34,485,588,915.1416543937157,0.21960165509502783,5.6046181359142,206192.66310612886,5.517388901002514,5.604422054444437,-0.019277651587397915
M-2022-5,35,1307,875,3390.7628051153065,1.0668339709257841,58.959109848070675,94261681.42789134,11.375838382395779,18.992827593317344,-0.09866154455928533
M-2022-5,36,916,826,2115.1486645801806,1.0198832697167388,24.10519206572409,1103165949.519689,19.97025399361019,8.810210140336256,0.0914961165892787
M-2022-5,37,1023,1989,1064.4502373022278,0.1383031895365866,122.69965750041696,5.374449130613443,4.325377629564353,7.47546018118971,0.16080491294961452
M-2022-5,39,8587,4388,386.7028966695039,0.13822605433007595,89.16761939753539,13.06346910026793,12.33417752870961,2.8656217506895416,0.0021085639362248276
M-2022-5,40,2306,2334,2698.676771449047,0.3851804948307419,4.637931226687075,8.958526487872195,8.356780068779127,4.265917510819884,-0.003821384837601527
M-2022-5,41,2472,2121,2845.340604015346,0.1954163862988243,34.7605435474199,2.797285982676264,2.468343167279097,3.4569285390265043,-0.008864520702301815
M-2022-5,42,1394,1839,1759.5553463417805,2.3535399517703075,149.0243348523112,12.181290516204752,10.769554619271359,15.090894558202603,-0.057923959277135006
M-2022-5,43,3196,2042,2249.6993245106787,0.23640011571761466,155.45664634662086,4.052047056323786,3.401055822551925,5.001247786346181,0.00909446993982943
