method,period,class_id,groups,support,precision,recall,f1
bn_static,M-2022-10,85,,1115,0.7701421800947867,0.5829596412556054,0.6636038795303726
bn_static,M-2022-10,86,,52904,0.9374610522567435,0.7961968849236353,0.8610736334273682
bn_static,M-2022-10,87,,7329,0.803228021978022,0.9574293900941465,0.8735760971055089
bn_static,M-2022-10,88,,229,0.23480662983425415,0.37117903930131,0.2876480541455161
bn_static,M-2022-10,89,,613,0.9186691312384473,0.8107667210440457,0.8613518197573656
bn_static,M-2022-10,90,,6090,0.7249056603773585,0.9463054187192118,0.8209401709401709
bn_static,M-2022-10,91,,3610,0.9274985557481225,0.8894736842105263,0.9080882352941176
bn_static,M-2022-10,92,,1810,0.9828680203045685,0.8558011049723757,0.9149438865918488
bn_static,M-2022-10,93,,34838,0.7739899961523663,0.8661231988059016,0.8174688105333027
bn_static,M-2022-10,94,stable,350,0.5241545893719807,0.62,0.5680628272251309
bn_static,M-2022-10,95,,4023,0.6512871949180876,0.9684315187670892,0.7788105947026487
bn_static,M-2022-10,96,absorber;degraded_noncollapsed,61021,0.8520593897116283,0.7326166401730552,0.7878365994642605
bn_static,M-2022-10,97,,45643,0.9526642391917535,0.8139692833512259,0.8778724258928888
bn_static,M-2022-10,98,stable,59567,0.9924172524283246,0.9931169943089294,0.9927670000671276
bn_static,M-2022-10,99,stable,27230,0.9887351536671972,0.8896437752478884,0.9365757476174827
bn_static,M-2022-10,100,,27178,0.975470621791215,0.3775112223121643,0.5443548387096774
bn_static,M-2022-10,101,degraded_noncollapsed,55343,0.9923550087873462,0.8162188533328515,0.8957100225057751
bn_static,M-2022-10,102,,56050,0.8568754985580168,0.9965744870651204,0.9214602682327323
bn_static,M-2022-10,103,degraded_noncollapsed,2918,0.7629179331306991,0.1720356408498972,0.2807606263982103
bn_static,M-2022-10,104,final_collapsed;gradual_collapsed,2391,0.02857142857142857,0.003345880384776244,0.005990265818045676
bn_static,M-2022-10,105,absorber;degraded_noncollapsed,4902,0.3231429686483674,0.5067319461444308,0.39463023274287073
bn_static,M-2022-10,106,,2736,0.9642582628747117,0.91703216374269,0.9400524541026601
bn_static,M-2022-10,107,stable,3189,0.967530440212301,0.9717779868297272,0.9696495619524406
bn_static,M-2022-10,108,,5587,0.9279626065438549,0.6040809020941471,0.731786643538595
bn_static,M-2022-10,109,final_collapsed;abrupt_collapsed,1824,0.9738124238733252,0.8766447368421053,0.9226774379688402
bn_static,M-2022-10,110,,8030,0.9315198481733354,0.7334993773349938,0.8207343412526998
bn_static,M-2022-10,111,degraded_noncollapsed,2242,0.3665919282511211,0.43755575379125783,0.3989426596177308
bn_static,M-2022-10,112,degraded_noncollapsed,1706,0.8143322475570033,0.5861664712778429,0.6816632583503749
bn_static,M-2022-10,113,stable,4746,0.9965657866494956,0.9782975136957438,0.9873471557682084
bn_static,M-2022-10,114,,820,0.982051282051282,0.9341463414634147,0.9575
bn_static,M-2022-10,115,,21104,0.9539577764442747,0.8286106899166035,0.8868771395968049
bn_static,M-2022-10,116,,4100,0.9534622932436221,0.8295121951219512,0.8871788183122473
bn_static,M-2022-10,117,,83533,0.6405388457629684,0.7092526306968503,0.6731467331716157
bn_static,M-2022-10,118,degraded_noncollapsed,2917,0.8244664863240156,0.9403496743229345,0.8786034593209481
bn_static,M-2022-10,119,stable,2621,0.9169960474308301,0.7966425028615033,0.8525928950592079
bn_static,M-2022-10,120,,2381,0.549527665317139,0.8551028979420412,0.6690765691751561
bn_static,M-2022-10,121,final_collapsed;gradual_collapsed,205,0.1,0.00975609756097561,0.017777777777777778
bn_static,M-2022-10,122,,57235,0.8986994248612252,0.7835415392679305,0.8371789127837514
bn_static,M-2022-10,123,degraded_noncollapsed,8886,0.8514957264957265,0.08969164978618051,0.16228873956424353
bn_static,M-2022-10,124,,24809,0.9371274669963354,0.8555362973114595,0.8944751148383834
bn_static,M-2022-10,125,,3524,0.49703680598877104,0.9043700340522134,0.6415056360708534
bn_static,M-2022-10,126,,807,0.8532763532763533,0.7422552664188352,0.7939032471835653
bn_static,M-2022-10,127,,8546,0.924804355222865,0.6360870582728761,0.7537437603993344
bn_static,M-2022-10,128,stable,4543,0.7679498657117279,0.9440898084965882,0.846958925750395
bn_static,M-2022-10,129,degraded_noncollapsed,31048,0.735671861515813,0.9335222880700851,0.8228714192431082
bn_static,M-2022-10,130,stable,6353,0.6441988950276243,0.9176766881788132,0.7569953905083425
bn_static,M-2022-10,131,stable,26225,0.9135754815300884,0.9024976167778836,0.9080027622189826
bn_static,M-2022-10,132,stable,18623,0.9866446280991735,0.8013209472158084,0.8843783335308759
bn_static,M-2022-10,133,,46808,0.816632793786746,0.9614382156896257,0.8831390556929236
bn_static,M-2022-10,134,,8353,0.9360861759425494,0.9363103076738897,0.9361982283935839
bn_static,M-2022-10,135,,2978,0.5239941832283083,0.3629952988582942,0.4288831581035509
bn_static,M-2022-10,136,,17861,0.7760903671164104,0.6924024410727283,0.7318617587880223
bn_static,M-2022-10,137,degraded_noncollapsed,600,0.4342629482071713,0.18166666666666667,0.25616921269095183
bn_static,M-2022-10,138,degraded_noncollapsed,17872,0.5376019743607322,0.4387869292748433,0.4831941834314058
bn_static,M-2022-10,139,degraded_noncollapsed,1906,0.24591738712776176,0.13431269674711438,0.17373600271462505
